1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SUM,Day/Hour
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.32,1.73,2.87,2.08,2.23,2.04,2.18,1.5,0.54,0.09,0.0,0.0,0.0,0.0,0.0,0.0,15.7,1
0.0,0.0,0.0,0.0,0.0,0.01,0.29,1.2,2.05,2.79,3.3,3.53,3.54,3.11,1.78,2.06,0.86,0.22,0.01,0.0,0.0,0.0,0.0,0.0,24.8,2
0.0,0.0,0.0,0.0,0.0,0.01,0.39,1.18,2.07,2.77,3.27,3.51,3.45,3.1,2.47,1.39,0.87,0.23,0.0,0.0,0.0,0.0,0.0,0.0,24.7,3
0.0,0.0,0.0,0.0,0.0,0.01,0.27,0.78,1.69,2.71,3.22,3.46,3.41,3.11,2.54,1.09,0.53,0.09,0.0,0.0,0.0,0.0,0.0,0.0,22.9,4
0.0,0.0,0.0,0.0,0.0,0.01,0.3,0.28,0.44,0.91,0.53,0.41,0.7,0.51,0.3,0.18,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,4.7,5
0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.22,0.18,1.02,2.79,1.58,0.54,0.47,0.15,0.26,0.25,0.06,0.0,0.0,0.0,0.0,0.0,0.0,7.6,6
0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.15,0.52,0.54,2.16,2.25,2.67,2.8,1.84,1.17,0.45,0.11,0.0,0.0,0.0,0.0,0.0,0.0,14.7,7
0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.64,1.65,1.59,2.44,2.47,2.39,2.97,1.2,0.82,0.66,0.14,0.0,0.0,0.0,0.0,0.0,0.0,17.1,8
0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,0.16,0.17,0.4,0.56,0.54,0.64,0.6,0.42,0.21,0.06,0.0,0.0,0.0,0.0,0.0,0.0,3.9,9
0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.16,0.32,0.4,0.55,0.36,0.32,0.32,0.44,0.27,0.17,0.04,0.0,0.0,0.0,0.0,0.0,0.0,3.4,10
