1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SUM,Day/Hour
0.0,0.0,0.0,0.0,0.0,0.07,0.62,1.43,2.21,2.87,3.36,3.6,3.62,3.36,2.87,1.97,0.81,0.29,0.02,0.0,0.0,0.0,0.0,0.0,27.1,1
0.0,0.0,0.0,0.0,0.0,0.06,0.64,1.45,2.2,2.89,3.38,3.63,3.62,3.43,2.61,2.2,0.83,0.25,0.02,0.0,0.0,0.0,0.0,0.0,27.2,2
0.0,0.0,0.0,0.0,0.0,0.06,0.62,1.44,2.23,2.9,3.38,3.65,3.64,3.38,3.26,2.12,1.29,0.31,0.03,0.0,0.0,0.0,0.0,0.0,28.3,3
0.0,0.0,0.0,0.0,0.0,0.06,0.61,1.44,2.23,2.91,3.4,3.66,3.72,3.4,2.97,1.6,0.67,0.18,0.01,0.0,0.0,0.0,0.0,0.0,26.9,4
0.0,0.0,0.0,0.0,0.0,0.05,0.59,1.35,2.16,2.87,3.36,3.63,3.62,3.41,3.04,1.48,0.48,0.17,0.01,0.0,0.0,0.0,0.0,0.0,26.2,5
0.0,0.0,0.0,0.0,0.0,0.02,0.54,0.5,1.5,1.31,1.77,2.29,3.08,2.94,1.53,1.47,1.01,0.44,0.03,0.0,0.0,0.0,0.0,0.0,18.4,6
0.0,0.0,0.0,0.0,0.0,0.03,0.57,1.39,2.18,2.91,3.34,3.74,3.41,2.59,2.07,1.71,0.54,0.15,0.02,0.0,0.0,0.0,0.0,0.0,24.7,7
0.0,0.0,0.0,0.0,0.0,0.03,0.55,1.36,2.15,2.81,3.41,3.66,3.44,1.68,0.42,0.47,0.66,0.32,0.03,0.0,0.0,0.0,0.0,0.0,21.0,8
0.0,0.0,0.0,0.0,0.0,0.04,0.59,1.41,2.18,2.86,3.37,3.68,3.57,2.92,1.08,0.61,0.23,0.06,0.02,0.0,0.0,0.0,0.0,0.0,22.6,9
0.0,0.0,0.0,0.0,0.0,0.02,0.5,0.87,2.08,2.93,2.49,3.47,3.51,1.45,0.81,0.58,0.23,0.13,0.01,0.0,0.0,0.0,0.0,0.0,19.1,10
0.0,0.0,0.0,0.0,0.0,0.03,0.59,1.44,1.98,2.74,2.7,2.92,3.86,3.34,2.86,1.02,0.77,0.26,0.01,0.0,0.0,0.0,0.0,0.0,24.5,11
0.0,0.0,0.0,0.0,0.0,0.04,0.56,1.36,2.16,2.84,3.34,3.63,3.65,3.43,1.53,1.56,0.52,0.18,0.01,0.0,0.0,0.0,0.0,0.0,24.8,12
