1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SUM,Day/Hour
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.51,1.37,2.12,2.68,3.03,2.88,1.21,0.66,0.3,0.17,0.02,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.21,0.54,1.14,2.05,2.87,0.86,1.67,0.69,0.24,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,10.5,2
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.28,0.79,0.97,1.06,1.77,1.73,1.57,0.44,0.29,0.13,0.04,0.0,0.0,0.0,0.0,0.0,0.0,9.1,3
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.22,0.58,1.07,1.86,2.31,1.65,0.85,0.67,0.36,0.16,0.01,0.0,0.0,0.0,0.0,0.0,0.0,9.8,4
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.19,0.32,0.3,0.36,0.38,0.56,0.47,0.37,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.2,5
0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.11,0.31,0.44,1.02,1.44,1.61,1.0,0.57,0.26,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,6.9,6
0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.26,0.6,1.39,1.54,0.86,0.95,0.41,0.34,0.26,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,6.8,7
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.24,1.24,1.73,0.96,1.21,1.91,0.93,0.31,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,8.8,8
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.25,0.89,1.65,2.45,1.75,1.29,0.61,0.26,0.13,0.02,0.0,0.0,0.0,0.0,0.0,0.0,9.4,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.2,0.38,0.55,0.42,0.38,0.38,0.36,0.31,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.2,10
0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.57,1.47,2.23,2.81,3.27,3.29,3.07,1.35,0.78,0.47,0.07,0.0,0.0,0.0,0.0,0.0,0.0,19.4,11
0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.21,0.58,1.1,2.4,3.21,2.33,1.09,0.43,0.1,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,11.6,12
0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.33,1.13,2.19,2.93,3.29,2.98,1.26,1.23,0.57,0.35,0.09,0.0,0.0,0.0,0.0,0.0,0.0,16.4,13
0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.67,1.57,2.35,2.94,3.26,3.28,3.01,2.46,1.7,0.81,0.1,0.0,0.0,0.0,0.0,0.0,0.0,22.2,14
0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.65,1.55,2.26,2.83,3.22,3.2,2.96,2.09,1.22,0.32,0.06,0.0,0.0,0.0,0.0,0.0,0.0,20.4,15
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.23,0.41,0.51,0.96,0.95,0.9,0.5,0.35,0.13,0.02,0.0,0.0,0.0,0.0,0.0,0.0,5.1,16
0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.47,1.41,2.33,3.11,3.03,3.24,3.36,1.05,0.49,0.31,0.08,0.0,0.0,0.0,0.0,0.0,0.0,18.9,17
0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.39,0.8,1.55,2.83,3.28,3.05,1.72,0.84,0.53,0.22,0.04,0.0,0.0,0.0,0.0,0.0,0.0,15.3,18
0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.49,1.2,2.38,2.66,1.96,1.53,2.44,2.12,0.98,0.5,0.17,0.0,0.0,0.0,0.0,0.0,0.0,16.5,19
0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.48,1.4,1.77,2.15,3.43,3.41,3.1,2.41,1.36,0.46,0.08,0.0,0.0,0.0,0.0,0.0,0.0,20.1,20
0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.75,1.69,2.47,3.07,3.41,3.39,2.45,1.73,1.33,0.33,0.04,0.0,0.0,0.0,0.0,0.0,0.0,20.7,21
0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.57,1.52,2.11,3.04,3.41,3.1,2.24,0.88,0.16,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,17.2,22
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.19,0.5,0.8,0.97,1.59,1.38,1.21,1.01,0.7,0.33,0.08,0.0,0.0,0.0,0.0,0.0,0.0,8.8,23
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.14,0.52,1.38,2.3,1.64,1.09,1.13,0.64,0.27,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,9.3,24
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.18,0.27,0.36,0.47,0.81,0.74,0.3,0.22,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.6,25
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.44,0.56,1.06,0.85,0.42,0.45,0.3,0.25,0.15,0.03,0.0,0.0,0.0,0.0,0.0,0.0,4.7,26
0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.18,0.33,0.3,0.34,0.38,0.5,0.49,0.31,0.2,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,3.2,27
0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.64,1.59,1.95,3.05,3.47,3.41,2.48,1.87,0.5,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,19.2,28
0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.42,0.75,1.04,1.69,2.53,2.9,2.35,0.89,0.52,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,13.3,29
0,0,0,0,0,0.0,1.0,9.4,23.9,39.4,55.5,63.1,57.7,47.3,28.2,15.2,6.4,1.3,0,0,0,0,0,0,,總和
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,日/時
