1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SUM,Day/Hour
0.0,0.0,0.0,0.0,0.0,0.02,0.48,1.29,2.1,2.8,3.29,3.53,3.52,3.3,2.66,1.9,1.06,0.23,0.0,0.0,0.0,0.0,0.0,0.0,26.2,1
0.0,0.0,0.0,0.0,0.0,0.03,0.47,1.31,2.13,2.82,3.32,3.55,3.52,3.22,2.57,1.64,0.42,0.09,0.0,0.0,0.0,0.0,0.0,0.0,25.1,2
0.0,0.0,0.0,0.0,0.0,0.03,0.4,1.23,2.18,2.83,3.34,3.45,3.0,3.02,1.72,0.82,1.14,0.25,0.0,0.0,0.0,0.0,0.0,0.0,23.4,3
0.0,0.0,0.0,0.0,0.0,0.02,0.51,1.28,1.65,2.85,2.62,3.52,3.46,1.7,1.48,1.35,0.93,0.16,0.0,0.0,0.0,0.0,0.0,0.0,21.5,4
0.0,0.0,0.0,0.0,0.0,0.02,0.23,1.23,1.64,2.43,3.48,2.84,2.81,2.55,1.0,0.75,0.51,0.14,0.0,0.0,0.0,0.0,0.0,0.0,19.6,5
0.0,0.0,0.0,0.0,0.0,0.02,0.5,1.32,2.13,2.81,3.31,3.56,3.52,3.21,2.63,1.26,1.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,25.4,6
0.0,0.0,0.0,0.0,0.0,0.02,0.48,1.32,2.12,2.83,3.38,3.57,2.54,3.23,1.68,0.38,0.16,0.12,0.0,0.0,0.0,0.0,0.0,0.0,21.8,7
0.0,0.0,0.0,0.0,0.0,0.02,0.63,1.23,1.35,3.12,2.7,1.59,3.34,1.79,0.38,0.12,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.0,16.4,8
0.0,0.0,0.0,0.0,0.0,0.01,0.49,1.34,2.15,2.83,3.32,3.56,3.52,2.95,2.54,1.89,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,25.7,9
0.0,0.0,0.0,0.0,0.0,0.02,0.53,1.34,2.15,2.82,3.3,3.53,3.46,2.98,2.03,1.37,0.61,0.07,0.0,0.0,0.0,0.0,0.0,0.0,24.2,10
0.0,0.0,0.0,0.0,0.0,0.01,0.37,1.28,2.1,2.8,3.27,3.44,3.46,2.94,2.27,1.81,0.8,0.12,0.0,0.0,0.0,0.0,0.0,0.0,24.7,11
0.0,0.0,0.0,0.0,0.0,0.01,0.21,0.44,0.17,0.38,1.2,3.02,3.08,2.73,2.07,1.58,0.59,0.12,0.0,0.0,0.0,0.0,0.0,0.0,15.6,12
0.0,0.0,0.0,0.0,0.0,0.01,0.46,1.29,2.15,2.75,3.32,3.34,3.12,2.05,2.51,1.43,0.57,0.12,0.0,0.0,0.0,0.0,0.01,0.0,23.1,13
0.0,0.0,0.0,0.0,0.0,0.03,0.31,0.99,1.46,2.88,3.58,2.9,3.54,2.76,1.43,0.62,0.22,0.04,0.0,0.0,0.0,0.0,0.0,0.0,20.8,14
0.0,0.0,0.0,0.0,0.0,0.02,0.32,1.05,1.93,2.69,3.22,3.53,3.12,2.87,2.1,1.7,0.81,0.16,0.0,0.0,0.0,0.0,0.0,0.0,23.5,15
0.0,0.0,0.0,0.0,0.0,0.02,0.4,1.33,1.86,2.63,3.23,3.54,2.8,1.87,2.31,1.07,0.39,0.05,0.0,0.0,0.0,0.0,0.0,0.0,21.5,16
0.0,0.0,0.0,0.0,0.0,0.02,0.46,1.33,2.17,2.85,3.31,2.7,2.94,2.53,2.42,1.77,0.86,0.15,0.0,0.0,0.0,0.0,0.0,0.0,23.5,17
0.0,0.0,0.0,0.0,0.0,0.01,0.15,0.28,0.16,0.68,0.7,0.21,0.19,0.28,1.03,0.85,0.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18
0.0,0.0,0.0,0.0,0.0,0.01,0.28,0.58,2.02,2.75,3.22,3.46,3.42,2.97,2.36,1.04,0.53,0.05,0.0,0.0,0.0,0.0,0.0,0.0,22.7,19
