1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SUM,Day/Hour
0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.14,0.43,1.13,1.79,1.23,2.24,0.99,0.18,0.08,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,8.4,1
0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.14,0.18,0.16,0.3,0.5,0.48,0.43,0.33,0.17,0.13,0.04,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2
0.0,0.0,0.0,0.0,0.0,0.02,0.22,0.56,0.84,1.22,1.09,1.28,1.09,0.71,0.37,0.24,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,7.8,3
0.0,0.0,0.0,0.0,0.0,0.05,0.55,1.42,2.23,2.72,3.31,3.64,3.58,3.3,2.73,0.95,0.22,0.11,0.01,0.0,0.0,0.0,0.0,0.0,24.8,4
0.0,0.0,0.0,0.0,0.0,0.1,0.48,0.95,1.36,1.48,1.92,2.12,1.96,2.91,1.96,1.08,0.63,0.21,0.01,0.0,0.0,0.0,0.0,0.0,17.2,5
0.0,0.0,0.0,0.0,0.0,0.07,0.5,1.41,2.06,2.88,3.44,3.29,3.3,3.2,2.47,0.8,0.61,0.17,0.01,0.0,0.0,0.0,0.0,0.0,24.2,6
0.0,0.0,0.0,0.0,0.0,0.04,0.45,1.37,2.22,2.97,2.68,2.43,2.11,1.35,0.66,0.94,0.49,0.16,0.01,0.0,0.0,0.0,0.0,0.0,17.9,7
0.0,0.0,0.0,0.0,0.0,0.05,0.22,0.54,0.16,0.2,0.48,0.69,0.33,0.27,0.31,0.13,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.5,8
0.0,0.0,0.0,0.0,0.0,0.03,0.13,0.34,0.68,1.58,2.21,2.34,2.36,1.91,0.83,0.5,0.27,0.07,0.01,0.0,0.0,0.0,0.0,0.0,13.3,9
0.0,0.0,0.0,0.0,0.0,0.02,0.23,0.51,1.11,2.35,2.29,3.34,3.56,2.46,1.42,0.9,0.54,0.21,0.02,0.0,0.0,0.0,0.0,0.0,19.0,10
0.0,0.0,0.0,0.0,0.0,0.11,0.74,0.61,1.17,1.64,1.48,2.6,2.9,3.32,2.93,1.25,0.84,0.32,0.02,0.0,0.0,0.0,0.0,0.0,19.9,11
0.0,0.0,0.0,0.0,0.0,0.05,0.39,0.83,1.29,2.2,2.08,3.15,3.53,2.45,1.39,0.5,0.21,0.05,0.0,0.0,0.0,0.0,0.0,0.0,18.1,12
0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.16,0.18,0.19,0.29,0.38,0.46,0.37,0.31,0.24,0.1,0.04,0.01,0.0,0.0,0.0,0.0,0.0,2.8,13
0.0,0.0,0.0,0.0,0.0,0.03,0.2,0.48,0.69,0.71,1.33,1.9,1.4,1.02,0.85,0.87,0.51,0.19,0.01,0.0,0.0,0.0,0.0,0.0,10.2,14
0.0,0.0,0.0,0.0,0.0,0.04,0.37,1.46,2.42,2.71,3.34,3.6,3.29,2.37,1.71,0.92,0.38,0.13,0.01,0.0,0.0,0.0,0.0,0.0,22.8,15
0.0,0.0,0.0,0.0,0.0,0.13,0.71,1.31,2.2,2.9,3.46,3.41,2.49,2.33,1.3,0.71,0.52,0.18,0.02,0.0,0.0,0.0,0.0,0.0,21.7,16
0.0,0.0,0.0,0.0,0.0,0.06,0.36,0.97,1.88,2.87,2.2,2.47,2.11,0.38,0.79,0.43,0.52,0.08,0.02,0.0,0.0,0.0,0.0,0.0,15.1,17
0.0,0.0,0.0,0.0,0.0,0.17,0.79,0.86,1.93,2.8,2.96,2.96,3.23,1.58,0.67,0.88,0.61,0.26,0.03,0.0,0.0,0.0,0.0,0.0,19.7,18
0.0,0.0,0.0,0.0,0.0,0.06,0.3,0.6,0.88,1.11,1.44,1.4,1.02,1.03,1.01,1.15,0.71,0.24,0.01,0.0,0.0,0.0,0.0,0.0,11.0,19
0.0,0.0,0.0,0.0,0.0,0.07,0.34,0.6,1.32,2.2,1.29,1.45,1.57,0.95,0.81,0.72,0.5,0.2,0.01,0.0,0.0,0.0,0.0,0.0,12.0,20
0.0,0.0,0.0,0.0,0.0,0.07,0.39,0.7,1.02,0.79,1.74,2.61,2.54,1.4,1.11,0.71,0.32,0.07,0.0,0.0,0.0,0.0,0.0,0.0,13.5,21
0.0,0.0,0.0,0.0,0.0,0.06,0.25,1.07,2.42,2.19,2.62,3.99,3.69,2.51,0.71,0.1,0.29,0.09,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22
0.0,0.0,0.0,0.0,0.0,0.04,0.21,0.96,1.89,1.8,1.8,2.66,1.03,0.68,0.28,0.19,0.07,0.06,0.01,0.0,0.0,0.0,0.0,0.0,11.7,23
0.0,0.0,0.0,0.0,0.0,0.07,0.3,0.62,0.82,0.97,0.91,1.51,1.32,1.12,0.44,0.11,0.13,0.15,0.02,0.0,0.0,0.0,0.0,0.0,8.5,24
0.0,0.0,0.0,0.0,0.0,0.07,0.34,0.53,0.9,1.29,1.69,1.96,0.95,1.16,1.0,0.83,0.5,0.18,0.02,0.0,0.0,0.0,0.0,0.0,11.4,25
0.0,0.0,0.0,0.0,0.0,0.03,0.37,0.66,0.98,1.8,1.61,1.29,1.27,0.79,0.7,0.68,0.53,0.27,0.04,0.0,0.0,0.0,0.0,0.0,11.0,26
0.0,0.0,0.0,0.0,0.0,0.15,0.86,1.55,1.74,2.88,3.22,1.82,2.78,1.93,1.24,2.04,1.33,0.34,0.03,0.0,0.0,0.0,0.0,0.0,21.9,27
